O*NET-SOC Code,Artistic,Conventional,Enterprising,Investigative,Realistic,Social
21-1023.00,4.33,3.0,2.67,4.67,1.0,7.0
21-1091.00,3.33,2.67,4.33,3.33,1.67,7.0
21-1092.00,2.33,4.67,5.0,2.33,1.33,6.67
21-1093.00,1.67,6.33,4.33,2.0,1.67,6.0
21-1094.00,2.67,3.0,3.33,3.33,2.0,7.0
21-2011.00,4.67,2.67,4.67,2.0,1.0,7.0
21-2021.00,2.67,4.0,7.0,1.0,1.33,6.0
23-1011.00,4.0,3.67,7.0,4.67,1.33,3.33
23-1012.00,2.0,5.67,5.33,4.0,1.0,2.0
23-1021.00,3.0,3.33,6.67,5.0,1.0,4.0
23-1022.00,3.33,4.0,6.33,2.67,1.0,6.67
23-1023.00,2.0,4.0,7.0,3.67,1.33,5.67
23-2011.00,1.67,5.67,4.33,5.0,1.0,2.0
23-2093.00,1.0,7.0,5.0,2.33,4.0,2.0
25-1011.00,3.33,3.67,4.33,4.0,1.0,7.0
25-1021.00,3.33,5.0,1.67,5.67,3.0,6.67
25-1022.00,4.0,4.0,1.67,5.67,1.33,6.33
25-1031.00,5.33,2.67,2.33,3.0,3.33,7.0
25-1032.00,3.0,3.0,2.67,5.67,4.33,6.67
25-1041.00,3.33,3.0,2.33,6.0,4.67,6.67
25-1042.00,3.67,2.33,2.33,6.33,3.33,6.67
25-1043.00,3.33,2.67,2.33,6.0,4.33,6.33
25-1051.00,4.0,2.0,3.0,6.33,3.33,6.67
25-1052.00,3.67,2.33,2.67,6.33,4.67,6.67
25-1053.00,4.33,1.67,2.67,6.0,3.0,7.0
25-1054.00,3.33,2.33,2.67,6.0,3.67,6.33
25-1061.00,3.67,2.67,2.67,5.33,2.33,7.0
25-1062.00,4.33,2.33,2.33,6.0,1.67,6.67
25-1063.00,3.67,3.0,3.33,5.33,1.0,7.0
25-1064.00,4.33,3.67,2.0,6.0,2.67,7.0
25-1065.00,4.0,3.0,4.67,3.33,1.0,7.0
25-1066.00,4.33,3.0,3.0,6.33,1.33,6.67
25-1067.00,4.0,2.67,2.33,5.0,1.0,7.0
25-1071.00,3.67,2.67,2.33,6.0,1.67,6.67
25-1072.00,3.67,2.0,2.33,5.67,2.33,7.0
25-1081.00,4.33,2.67,3.0,4.0,1.33,7.0
25-1082.00,4.0,4.33,2.0,5.67,1.67,6.67
25-1111.00,3.0,1.67,3.0,5.67,2.67,6.67
25-1112.00,3.67,2.67,5.0,5.67,1.0,6.67
25-1113.00,4.0,3.0,3.0,5.67,1.33,7.0
25-1121.00,6.33,2.67,2.67,3.67,3.33,6.67
25-1122.00,4.67,3.33,3.67,4.0,1.0,7.0
25-1123.00,5.67,2.67,2.0,4.33,1.33,6.33
25-1124.00,5.33,2.67,3.0,5.33,1.33,7.0
25-1125.00,4.0,3.33,2.0,5.33,2.0,6.67
25-1126.00,5.0,2.33,2.67,4.33,1.0,7.0
25-1192.00,4.33,2.67,2.67,5.0,1.67,6.67
25-1193.00,4.0,2.67,2.67,3.67,4.0,6.67
25-1194.00,2.67,2.33,3.33,2.67,5.33,7.0
25-2011.00,5.67,2.0,3.33,2.67,2.0,7.0
25-2012.00,4.67,2.67,3.33,2.33,1.67,7.0
25-2021.00,4.33,4.0,2.33,3.67,1.33,7.0
25-2022.00,5.0,3.0,3.33,3.33,2.33,7.0
25-2023.00,5.33,4.33,2.67,4.33,1.33,7.0
25-2031.00,4.67,3.0,4.0,2.67,1.67,7.0
25-2032.00,3.67,2.67,3.67,3.67,3.33,7.0
